species,Cogniaux
albicans,miconia
alborufescens,glossocentrum
amnicola,miconia
amoena,miconia
angelana,cremanium
argyrophylla,miconia
baumgratziana,glossocentrum
brunnea,glossocentrum
budlejoides,glossocentrum
burchellii,miconia
capixaba,miconia
castaneiflora,glossocentrum
chrysophylla,hypoxanthus
cinerascens,glossocentrum
cinerea,miconia
cipoensis,miconia
corallina,glossocentrum
cowanii,miconia
cubatanensis,glossocentrum
cyathanthera,cremanium
dichrophylla,miconia
discolor,glossocentrum
dispar,miconia
eriocalyx,miconia
fallax,miconia
fasciculata,glossocentrum
ferruginata,miconia
flammea,glossocentrum
formosa,glossocentrum
heliotropoides,miconia
hyemalis,cremanium
hypoleuca,hypoxanthus
kollmannii,glossocentrum
kriegeriana,glossocentrum
lagunensis,glossocentrum
lepidota,miconia
longispicata,miconia
lourteigiana,miconia
lymanii,cremanium
macrothyrsa,miconia
macuxi,miconia
mayarae,miconia
mellina,glossocentrum
multispicata,miconia
navioensis,miconia
octopetala,octomeris
pennipilis,miconia
pepericarpa,glossocentrum
petroniana,glossocentrum
polyandra,miconia
pterocaulon,miconia
punctata,miconia
racemifera,glossocentrum
robusta,miconia
rondoniensis,miconia
rufescens,miconia
ruficalyx,miconia
ruschiana,glossocentrum
sclerophylla,glossocentrum
secundiflora,miconia
serialis,miconia
shepherdii,glossocentrum
stenostachya,miconia
suberosa,miconia
tiliifolia,miconia
valtheri,glossocentrum
willdenowii,glossocentrum