species,Cogniaux,nectar,bees,other_insects,vertebrates,hand_self_fruiting_perc,bagged_fruiting_perc,author_year
affinis,miconia,0,1,0,0,NA,NA,Renner_1989
alata,miconia,0,1,0,0,NA,NA,Renner_1989
albicans,miconia,0,0,0,0,0,37.7,Goldenberg_1998
alborufescens,miconia,0,1,0,0,NA,NA,Renner_1989
angelana,cremanium,1,1,1,0,33,91.5,Santos_2010
araguensis,octomeris,0,NA,NA,NA,45.4,20,Sobrevila_1982
argentea,miconia,0,1,0,0,NA,NA,Renner_1989
argyrophylla,miconia,0,1,0,0,NA,NA,Renner_1989
brevitheca,cremanium,1,1,1,0,NA,NA,Kriebel_2014
cataractae,amblyarrhena,1,1,1,0,NA,NA,Manrique-Valderrama_2022
ciliata,hartigia,1,NA,NA,NA,0,0,Melo_1998
discolor,glossocentrum,0,1,1,0,90.6,75.7,Borges_1991
dispar,miconia,0,1,0,0,NA,NA,Renner_1989
dodecandra,tamonea/jucunda,0,NA,NA,NA,0,NA,Sobrevila_1982
egensis,glossocentrum,0,1,0,0,NA,NA,Renner_1989
elaeoides,cremanium,1,1,1,1,40,80,Manrique-Valderrama_2022
elegans,miconia,0,1,1,0,15.6,6.2,Borges_1991
fallax,miconia,0,0,0,0,0,37.7,Goldenber_1998
ferruginata,miconia,0,NA,NA,NA,100,54.9,Santos_2012
gratissima,tamonea/jucunda,0,1,0,0,NA,NA,Renner_1989
hyemalis,cremanium,1,1,1,0,95,88,Maia_2015
hyemalis,cremanium,1,0,1,0,NA,NA,Varassin_2008
ibaguensis,miconia,0,1,0,0,NA,NA,Renner_1989
laevigata,miconia,0,NA,NA,NA,0,NA,Sobrevila_1982
latecrenata,hypoxanthus,0,NA,NA,NA,0,73.8,Goldenber_2001
leucocarpa,miconia,0,0,0,0,0,40.3,Goldenberg_1998
ligustroides,glossocentrum,0,1,1,0,70.3,78.9,Maia_2015
melanotricha,chaenopleura,1,0,0,1,NA,NA,Varassin_2008
minutiflora,glossocentrum,0,1,0,0,81.9,61.1,Goldenberg_1998
minutiflora,glossocentrum,1,1,0,0,NA,NA,Mori_1984
myriantha,glossocentrum,0,1,0,0,NA,NA,Renner_1989
nervosa,miconia,0,1,0,0,NA,NA,Renner_1989
paucidens,tamonea/jucunda,0,1,0,0,0,0,Goldenberg_1998
pepericarpa,glossocentrum,1,1,1,0,0,0,Goldenberg_1998
petropolitana,glossocentrum,0,NA,NA,NA,0,90.9,Goldenberg_2001
pileata,NA,0,1,0,0,NA,NA,Renner_1989
poeppigii,miconia,0,1,0,0,NA,NA,Renner_1989
pusilliflora,hypoxanthus,0,NA,NA,NA,0.4,0,Goldenberg_2001
radulifolia,miconia,0,1,0,0,NA,NA,Renner_1989
robinsoniana,tamonea/jucunda,1,1,0,0,NA,NA,Renner_1989
rubiginosa,miconia,0,1,0,0,92,71,Goldenberg_1998
rufescens,miconia,0,1,0,0,NA,NA,Renner_1989
sellowiana,hypoxanthus,0,1,1,0,57,0,Maia_2015
sintenisii,chaenopleura,1,1,0,0,NA,NA,Renner_1989
splendens,miconia,0,1,0,0,NA,NA,Renner_1989
stenostachya,miconia,0,0,0,0,0,83.0,Goldenberg_1998
sylvatica,miconia,0,NA,NA,NA,26.4,8.7,Sobrevila_1982
theizans,cremanium,1,1,1,0,63,0,Maia_2015
theizans,cremanium,1,1,1,0,NA,NA,Brito_2017
theizans,cremanium,1,1,1,0,26.3,0,Borges_1991
tomentosa,adenodesma,0,1,0,0,NA,NA,Renner_1989
tonduzzi,cremanium,1,1,1,0,NA,NA,Kriebel_2014
tuberculata,octomeris,0,NA,NA,NA,0,NA,Sobrevila_1982