theta_1,se_1,theta_2,se_2,theta_3,se_3,theta_4,se_4,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
-6.54972992885164,1.0345737266409,-6.14346810549801e-10,9.70401949614276e-11,-9.13068236257741e-10,1.44225245639743e-10,-2.58810218991756e-09,4.0880808165169e-10,NA,0.503769636536884,NA,0.722793787096016,NA,1.46181525939794
-6.42021567773171,1.11750478170901,-9.57369296547338e-10,1.66640004083324e-10,-1.02994002626828e-09,1.79271688367165e-10,-4.0035196441913e-09,6.96853901897327e-10,NA,0.271714688879115,NA,0.52505154923061,NA,1.08740468210677
-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864
-6.63347452716146,0.968761535608238,-7.47792633537852e-10,1.09208641265809e-10,-8.00004777873466e-10,1.16833772999844e-10,-3.17677133830212e-09,4.63939955956492e-10,NA,0.361711140564377,NA,0.861023273949336,NA,1.14989328162922
-6.70613504349672,0.712893778917565,-8.10641590339172e-09,8.6175023756054e-10,NA,0.408853849293207,-6.70613504349672,0.712893778917565,-8.10641590339172e-09,8.6175023756054e-10,NA,0.408853849293207,-6.70613504349672,0.712893778917565
-4.36611089026129,2.28727082380908,0,0,-6.85107174347034,1.08924795706557,0.0674833921167126,0.386469707127506,6.15289002592773e-18,0.00464222973339876,1.15496296658413e-08,1,-4.36611089026129,2.28727082380908
-6.44068819014006,0.893700506346007,-7.1011264044586e-10,9.85341950416496e-11,-9.35881436094666e-10,1.29861544081265e-10,-3.05516524565791e-09,4.23930276766894e-10,NA,0.506811032365333,NA,0.000524894850007091,NA,0.986427394658082
-6.71594424044533,0.857749140684911,-7.44330762221558e-10,9.50646772550557e-11,-1.34734005196219e-09,1.72080012937137e-10,-3.21090283292591e-09,4.10091127496066e-10,NA,0.317230159554131,NA,0.275888459560532,NA,1.06206903316642
-6.14328212514601,0.923990210350837,-1.24528723676036e-10,1.87299426007522e-11,-2.73637572802196e-09,4.1156898430296e-10,-3.7083170822134e-09,5.57755384017972e-10,NA,0.308951201752126,NA,0.000760234851387211,NA,0.767724626913828
-6.62148281730571,0.731251491256491,-4.52196619119879e-09,4.99388824521794e-10,NA,0.712113846853027,-6.62148281730571,0.731251491256491,-4.52196619119879e-09,4.99388824521794e-10,NA,0.712113846853027,-6.62148281730571,0.731251491256491
-6.3826395904344,0.889381924757235,-1.03885977566143e-09,1.447587778911e-10,-1.0700909171101e-09,1.49110647098255e-10,-3.21478567731336e-09,4.47960790024234e-10,NA,0.387842364745069,NA,6.73506610164994e-16,NA,1.00086301537483
-6.28191393901658,0.978267576032452,-1.15107881877548e-09,1.79254777572146e-10,-1.38050652210403e-09,2.14983010303246e-10,-2.96180629811441e-09,4.61235078363335e-10,NA,0.31754341593602,NA,0.372590766617489,NA,1.11718607512998
-6.41454055631677,0.896657158410169,-9.94285920841298e-10,1.38986351493382e-10,-9.85917642818539e-10,1.37816590958423e-10,-2.76332364770268e-09,3.86271457474334e-10,NA,0.337853440343833,NA,0.412881411628685,NA,1.10745795668027
-6.7179379815178,0.854964604130493,-6.84996580932344e-09,8.71767248013871e-10,NA,0.603465159488736,-6.7179379815178,0.854964604130493,-6.84996580932344e-09,8.71767248013871e-10,NA,0.603465159488736,-6.7179379815178,0.854964604130493
-6.57064520993801,1.0515437601289,-4.88283371313361e-10,7.81432136227172e-11,-7.15802389460881e-10,1.14554585139447e-10,-3.62307599584663e-09,5.79824786482615e-10,NA,0.357896179397628,NA,0.570478577155319,NA,1.29955954937364
-6.52244225799022,0.896397022352309,-7.3549760978657e-10,1.01081441779305e-10,-4.81906685060562e-10,6.62297496019638e-11,-3.15553761545207e-09,4.33674137773591e-10,NA,0.280345091230302,NA,1.64969187886628,NA,0.991200079506503
-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194
-6.69013607973048,1.03152556294936,-5.20714475664068e-10,8.02869009305558e-11,-1.12488362527296e-09,1.73441347228762e-10,-3.44921665570213e-09,5.31821043713477e-10,NA,0.358088008033579,NA,0.262561204620479,NA,1.18942393849779
-6.8552341767965,0.735881591529639,-5.67110847450825e-09,6.08770498910739e-10,NA,0.612893050791626,-6.8552341767965,0.735881591529639,-5.67110847450825e-09,6.08770498910739e-10,NA,0.612893050791626,-6.8552341767965,0.735881591529639
-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977
-6.27248465757664,0.891011305077835,-1.29832871337393e-10,1.84428599586441e-11,-1.71616192875923e-09,2.43782131538782e-10,-2.11204000464985e-09,3.00016918916867e-10,NA,0.478097248182979,NA,0.000369010418393377,NA,1.43486958862475
-6.64676992410014,0.813885533066218,-4.9519384594537e-09,6.06356338312585e-10,NA,0.756215700461665,-6.64676992410014,0.813885533066218,-4.9519384594537e-09,6.06356338312585e-10,NA,0.756215700461665,-6.64676992410014,0.813885533066218
-6.76686231707787,0.791953691397139,-5.17307254059515e-09,6.05425927471602e-10,NA,0.681513491520104,-6.76686231707787,0.791953691397139,-5.17307254059515e-09,6.05425927471602e-10,NA,0.681513491520104,-6.76686231707787,0.791953691397139
-6.85551962231728,0.862391622288276,-5.98964314679361e-09,7.5346849762866e-10,NA,0.65906847327911,-6.85551962231728,0.862391622288276,-5.98964314679361e-09,7.5346849762866e-10,NA,0.65906847327911,-6.85551962231728,0.862391622288276
-6.4362062901175,1.05455914812676,-3.97375088478076e-10,6.51090900295838e-11,-6.50095990431944e-10,1.06516889448243e-10,-2.50548486722974e-09,4.10518536562017e-10,NA,0.402159143674044,NA,0.736354602669692,NA,1.7891016464332
-4.5503746329772,1.30487352664103,-6.97831557977206,1.27346200603524,-6.79887045709326,0.882116364956426,0.159009750640049,0.687235546143764,0.159009750640049,0.000640103785134291,0.159009750640049,2.76151949714078,-4.5503746329772,1.30487352664103
-6.66410770694157,0.997127481325379,-4.77638019794579e-10,7.14673316529554e-11,-6.51479608001635e-10,9.74786496900191e-11,-5.53148515214903e-09,8.27657069828847e-10,NA,0.263600903366302,NA,1.01591738840191,NA,0.68972353339296
-4.90344898025705,0.407117170806702,-8.31338220015989,2.42007081415324,-6.75233883501466,0.646302304148226,0.392107907644502,0.209581814298539,0.102473889533226,0.00368772311985474,0.168175193399227,1.64036844705483,-4.90344898025705,0.407117170806702
-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427
-4.99465774304962,0.701462899548833,0,0,-6.74837315369981,0.708658958178627,0.229747348174366,0.186150054373063,1.58884031006863e-21,0.000709457762505028,0.0773673837318852,1,-4.99465774304962,0.701462899548833
-6.72633143547395,0.836754697066587,-4.55664335445262e-09,5.66845800905265e-10,NA,0.832808682677688,-6.72633143547395,0.836754697066587,-4.55664335445262e-09,5.66845800905265e-10,NA,0.832808682677688,-6.72633143547395,0.836754697066587
-6.76874413474996,1.07727583508195,-5.38992788787868e-10,8.57831076319806e-11,-9.49161454003574e-10,1.51063281109985e-10,-4.51707767363382e-09,7.18913069562151e-10,NA,0.317781196399413,NA,0.714152851858184,NA,1.03061452354522
-6.64212981850976,1.07969024935891,-7.7731963242911e-10,1.26354716137912e-10,-1.30187371578138e-09,2.11621933812367e-10,-2.71147636387322e-09,4.40755400968348e-10,NA,0.322940265807394,NA,0.265316179506521,NA,1.68174274764862
-5.7235837359226,0.86220164659011,-4.74249884870664e-10,7.14410849035551e-11,-2.49266847537880e-09,3.75496011421317e-10,-1.51457970185454e-09,2.2815654895288e-10,NA,0.579739015452814,NA,0.0578484790884194,NA,1.3381703387688
-6.70577320863265,1.16221235405506,-6.80992482752006e-10,1.18026341161572e-10,-1.34824996378975e-09,2.33672197898686e-10,-3.57012927129964e-09,6.18757631012532e-10,NA,0.529418148349527,NA,0.000226037918402428,NA,1.44985022245695
-6.55986695073479,0.982616727139331,-8.41824360627813e-10,1.26098700519164e-10,-8.53959024224108e-10,1.27916378151572e-10,-2.59423682420531e-09,3.88596371964436e-10,NA,0.385823698718993,NA,0.213986689821666,NA,1.52455873134804
-6.43849809197165,0.975725733745707,-8.66889196644759e-10,1.31373199990094e-10,-1.05309689246417e-09,1.59592147644835e-10,-3.05009709529701e-09,4.62228641492533e-10,NA,0.27038161742083,NA,0.334205841395741,NA,1.1562860756397
-6.56771869598917,1.04845659840387,-8.01006471166792e-10,1.27870963866325e-10,-5.25975550433987e-10,8.39656145425949e-11,-3.95105742481982e-09,6.30738376516451e-10,NA,0.23753559713756,NA,0.715942532466137,NA,1.0277062881923
-6.51034991322343,0.46912668151594,0.184031781068458,1.38096689121343,-6.51034991322343,0.46912668151594,0.184031781068458,1.38096689121343,-6.51034991322343,0.46912668151594,0.184031781068458,1.38096689121343,-6.51034991322343,0.46912668151594
-6.3230085802693,0.905099764560496,-1.09475728710736e-09,1.56707768182335e-10,-1.08619977000089e-09,1.55482812274089e-10,-2.64432611968839e-09,3.78519010051572e-10,NA,0.323376761469456,NA,0.335455384010669,NA,1.12996236314478
-4.74756682681211,1.41391079917167,-7.1731473774771,1.33900869340416,-6.80155638923929,0.829717393681082,0.235680247303185,1.0614379099843,0.235680247303185,0.000536391577553037,0.235680247303185,3.65540623463603,-4.74756682681211,1.41391079917167
-6.21938683148431,0.89965505920167,-1.18236058488803e-09,1.71032404128436e-10,-1.27184827429884e-09,1.83977097021451e-10,-2.19632297614979e-09,3.17705447606233e-10,NA,0.483143068117477,NA,0.000248962831050331,NA,1.42568824045586
-6.64275665400904,0.467136304090415,0.168575115201951,1.26474106127787,-6.64275665400904,0.467136304090415,0.168575115201951,1.26474106127787,-6.64275665400904,0.467136304090415,0.168575115201951,1.26474106127787,-6.64275665400904,0.467136304090415
-6.07617323382198,0.779090947250186,-1.59985358828302e-09,2.0513428429253e-10,-1.8518138089376e-09,2.37440790283113e-10,-2.14376464337277e-09,2.74874919199107e-10,NA,0.369034586161882,NA,0.000407236774675419,NA,1.14797533497415
-6.54183398433869,0.980250046025591,-5.52959587678939e-10,8.28572939286183e-11,-1.09308842357911e-09,1.63791985563781e-10,-3.45007391247816e-09,5.16970488641999e-10,NA,0.338252980655466,NA,0.332750201383501,NA,1.17424959321915
-6.75560813356148,0.950400756632748,-5.19487358100258e-12,7.30831582445848e-13,-2.56544272902428e-09,3.60914763343058e-10,-3.5988054822399e-09,5.0629157074751e-10,NA,0.398582799753069,NA,0.000282379500592616,NA,0.844574704900003
-6.80122400413465,0.763733954521347,-5.11937578518842e-09,5.7487315676206e-10,NA,0.700702353353022,-6.80122400413465,0.763733954521347,-5.11937578518842e-09,5.7487315676206e-10,NA,0.700702353353022,-6.80122400413465,0.763733954521347
-6.74597972465957,0.877637115675235,-5.32563288333951e-10,6.92853117508463e-11,-1.1528271779444e-09,1.49980278716921e-10,-3.21662862290462e-09,4.1847630470708e-10,NA,0.353162782528249,NA,0.501693054836026,NA,1.136616011249
-6.60641338431187,1.0296792620499,-8.28101016168891e-10,1.29068284654484e-10,-1.09164965747947e-09,1.70145122374532e-10,-4.40864407114658e-09,6.87133715337695e-10,NA,0.2606635183292,NA,0.464525322235765,NA,0.933004908866347
-5.8845604171125,0.893400829668904,-4.27637223075991e-12,6.49243822522181e-13,-1.74392516734893e-09,2.64764754026333e-10,-2.55267606182137e-09,3.87550258618279e-10,NA,0.521592687693638,NA,0.000541317155223324,NA,1
-6.72350606988496,0.769117769353817,-7.90222977925949e-09,9.03954763715913e-10,NA,0.424521477157821,-6.72350606988496,0.769117769353817,-7.90222977925949e-09,9.03954763715913e-10,NA,0.424521477157821,-6.72350606988496,0.769117769353817
-6.48253112925014,0.901201938839835,-6.77314619960845e-10,9.41603266599173e-11,-1.01008671484589e-09,1.40422326968567e-10,-2.52945269510499e-09,3.51644693651621e-10,NA,0.664801464810686,NA,2.38670600238832e-15,NA,1.35481387590018
-6.52284626130394,0.713113813039332,-4.11364877460252e-09,4.49726951340865e-10,NA,0.794610359834506,-6.52284626130394,0.713113813039332,-4.11364877460252e-09,4.49726951340865e-10,NA,0.794610359834506,-6.52284626130394,0.713113813039332
-5.42636368798035,0.935515573406256,0,0,-5.948197157678,1.01163596230786,0.121115558661549,0.19881601468382,8.12878925040975e-18,0.0011528053568514,1.25001554115222e-06,1.00668600010011,-5.42636368798035,0.935515573406256
-6.32347891029543,0.969045687569445,-7.04082129079668e-10,1.07897529280681e-10,-5.27961688399709e-10,8.09078364304561e-11,-3.99675028460441e-09,6.12484627928792e-10,NA,0.237942292780214,NA,0.995737650788031,NA,0.876245360364843
-6.91481572048441,0.868341506490026,-5.21435739233005e-09,6.5480312657068e-10,NA,0.707936745773786,-6.91481572048441,0.868341506490026,-5.21435739233005e-09,6.5480312657068e-10,NA,0.707936745773786,-6.91481572048441,0.868341506490026
-6.590012425577,0.71196904148567,-5.59899126272466e-09,6.04901506275945e-10,NA,0.567910762525466,-6.590012425577,0.71196904148567,-5.59899126272466e-09,6.04901506275945e-10,NA,0.567910762525466,-6.590012425577,0.71196904148567
-6.70389104123495,0.487502579396133,0.160485165328287,1.27476889624598,-6.70389104123495,0.487502579396133,0.160485165328287,1.27476889624598,-6.70389104123495,0.487502579396133,0.160485165328287,1.27476889624598,-6.70389104123495,0.487502579396133
-4.48062072320396,1.07165604239798,-7.0966311121971,1.03695191700392,-6.79857014487868,0.872616884620396,0.247698871872046,1.08254649017979,0.247698871872046,0.000377377720668649,0.247698871872046,4.14240385627645,-4.48062072320396,1.07165604239798
-6.66796521315138,0.901270968846303,-8.24004480107126e-10,1.11376003380326e-10,-1.04005061310173e-09,1.40577731550038e-10,-3.4541539645779e-09,4.66878364041152e-10,NA,0.247736797322711,NA,0.774467666216299,NA,0.919156623251152
-6.90088584151946,1.03427795938642,-2.56329384985155e-12,3.84176523680414e-13,-2.65306698451632e-09,3.97631372243816e-10,-3.56645751222106e-09,5.34526795935024e-10,NA,0.619910985152294,NA,0.000314719244988875,NA,1.21731185665971
-6.62894542486902,0.922908711436884,-5.86896111333683e-10,8.17100608230777e-11,-1.07546289966e-09,1.49730313844532e-10,-2.45098321554018e-09,3.41235840126584e-10,NA,0.649481956999795,NA,0.000758808189301687,NA,1.43831876887685
-6.7905288276774,0.830458090827213,-5.44815891545713e-09,6.66290912868611e-10,NA,0.680351356571134,-6.7905288276774,0.830458090827213,-5.44815891545713e-09,6.66290912868611e-10,NA,0.680351356571134,-6.7905288276774,0.830458090827213
-6.61983242116437,0.455112470204446,0.230797060209449,1.68705339209883,-6.61983242116437,0.455112470204446,0.230797060209449,1.68705339209883,-6.61983242116437,0.455112470204446,0.230797060209449,1.68705339209883,-6.61983242116437,0.455112470204446
-6.36745120517682,0.844810439276737,-1.17046085381903e-09,1.55292520697631e-10,-5.85351157977402e-10,7.76622785110612e-11,-2.22190833500087e-09,2.94794776754415e-10,NA,0.2718042800537,NA,0.842365368244309,NA,1.2728607079874
-6.66594118757342,0.82762608218854,-6.68052404172128e-09,8.29436651784927e-10,NA,0.624423202403841,-6.66594118757342,0.82762608218854,-6.68052404172128e-09,8.29436651784927e-10,NA,0.624423202403841,-6.66594118757342,0.82762608218854
-6.53130710421949,0.980011953978904,-7.8092889755543e-10,1.17177104460065e-10,-1.03146125374472e-09,1.54769074950227e-10,-3.34945879030812e-09,5.02580815981081e-10,NA,0.301787402742405,NA,0.300854297988881,NA,1.34940541583562
-6.44011352283108,1.04800938319252,-4.68976765625488e-10,7.63172961365327e-11,-6.43037605586347e-10,1.04642479051191e-10,-2.99932978886962e-09,4.88085458568498e-10,NA,0.385529201862324,NA,0.99249252278372,NA,1.34310962016118
-6.57305124057671,0.41004043512398,0.256641188013126,1.8330580616109,-6.57305124057671,0.41004043512398,0.256641188013126,1.8330580616109,-6.57305124057671,0.41004043512398,0.256641188013126,1.8330580616109,-6.57305124057671,0.41004043512398
-6.21597997925733,1.09013304988495,-7.80590538845213e-10,1.36896764092321e-10,-8.50392293213285e-10,1.49138309211542e-10,-3.2965633141377e-09,5.78137740432461e-10,NA,0.483950889583233,NA,0.000407260343593009,NA,1.22129357650205
-6.33047870863514,1.03389081369622,-9.5305809441368e-10,1.5565300099486e-10,-9.69735019299999e-10,1.58376668545807e-10,-3.20856802445393e-09,5.2402182493361e-10,NA,0.296899802445772,NA,0.569170281580839,NA,1.12319726233455
-6.58063138098433,1.05004352126157,-8.4613684550963e-10,1.35014478290864e-10,-1.03657863026627e-09,1.65402468543448e-10,-3.31619854081717e-09,5.29151777603636e-10,NA,0.35243998440295,NA,0.698464231642043,NA,1.2652353409584
-6.50633501099574,0.907843427134487,-1.01356044496398e-09,1.41424348178985e-10,-1.41505939765651e-09,1.97446392015826e-10,-3.20962931089201e-09,4.47846732224506e-10,NA,0.44598914171456,NA,0.000465160688323419,NA,0.942664325860781
-6.80106251734,0.880772502610136,-5.9804337853813e-09,7.74496869925062e-10,NA,0.755911476232989,-6.80106251734,0.880772502610136,-5.9804337853813e-09,7.74496869925062e-10,NA,0.755911476232989,-6.80106251734,0.880772502610136
-5.07673276288776,1.42725732934899,-5.62133472568889,1.74198443657875,-6.86360843026271,0.933220251327634,0.165401762736418,0.716872334388783,0.165401762736418,0.000324103522331157,0.165401762736418,2.9077877960825,-5.07673276288776,1.42725732934899
-6.50952321153554,1.00219014635843,-3.49435917297333e-10,5.37982923969783e-11,-6.66354229566191e-10,1.02590254486237e-10,-2.94070839066829e-09,4.52744214387108e-10,NA,0.408594431119547,NA,0.817883641774242,NA,1.27954301997548
-6.37186525553126,0.831021262005946,-1.35499396206923e-11,1.76718864435304e-12,-2.51215284454499e-09,3.27635997232165e-10,-3.87176591251347e-09,5.04957287352347e-10,NA,0.382446390999087,NA,0.000893221951660451,NA,0.750274021529902
-6.72204230033544,0.774811007200467,-6.28089946535294e-09,7.23963019487714e-10,NA,0.560252615738743,-6.72204230033544,0.774811007200467,-6.28089946535294e-09,7.23963019487714e-10,NA,0.560252615738743,-6.72204230033544,0.774811007200467
-6.64733490921354,0.879128795257098,-5.47708501094405e-09,7.24359944692726e-10,NA,0.710397279266482,-6.64733490921354,0.879128795257098,-5.47708501094405e-09,7.24359944692726e-10,NA,0.710397279266482,-6.64733490921354,0.879128795257098
-6.85727839620533,0.88482347707173,-9.03059559857672e-10,1.16525573790078e-10,-9.62791884690882e-10,1.24233086931406e-10,-4.04261648225961e-09,5.21635810247965e-10,NA,0.224548640676764,NA,0.685745307394082,NA,0.804644316168067
-6.59882318141225,0.672644876399952,-4.49354019819727e-09,4.58044822253859e-10,NA,0.659713949009573,-6.59882318141225,0.672644876399952,-4.49354019819727e-09,4.58044822253859e-10,NA,0.659713949009573,-6.59882318141225,0.672644876399952
-4.77336811713834,1.70634626859562,-7.47194938183605,1.19838536067532,-6.61751762391442,0.838410468500454,0.170653509003416,0.952187429158281,0.170653509003416,0.000276618488071048,0.170653509003416,2.6630681623674,-4.77336811713834,1.70634626859562
-6.65562285204905,0.822311927024357,-6.12519517134408e-10,7.56776812135258e-11,-9.07236394687554e-10,1.12090382007219e-10,-4.91274095281988e-09,6.06976322079468e-10,NA,0.247973977154447,NA,1.04681785656823,NA,0.632770500082963
-6.69706931735827,0.78268935341042,-5.12013565064681e-09,5.98392441809038e-10,NA,0.648033999024992,-6.69706931735827,0.78268935341042,-5.12013565064681e-09,5.98392441809038e-10,NA,0.648033999024992,-6.69706931735827,0.78268935341042
-6.55713152277957,0.466471075806887,0.174820481783804,1.3444643052783,-6.55713152277957,0.466471075806887,0.174820481783804,1.3444643052783,-6.55713152277957,0.466471075806887,0.174820481783804,1.3444643052783,-6.55713152277957,0.466471075806887
-6.85564752714268,0.919530613446905,-5.03187764382207e-09,6.7491298499442e-10,NA,0.797002719923328,-6.85564752714268,0.919530613446905,-5.03187764382207e-09,6.7491298499442e-10,NA,0.797002719923328,-6.85564752714268,0.919530613446905
-4.38092570545582,1.09977095157856,-6.85615038961986,1.09604427567722,-6.62498013508921,0.784905285619632,0.183781681051046,0.82646862268094,0.183781681051046,0.000320982897486776,0.183781681051046,2.53108002024246,-4.38092570545582,1.09977095157856
-6.38581074768184,0.559861508323379,0.144376634445647,1.21568574108718,-6.38581074768184,0.559861508323379,0.144376634445647,1.21568574108718,-6.38581074768184,0.559861508323379,0.144376634445647,1.21568574108718,-6.38581074768184,0.559861508323379
-6.63389135475908,0.483051719706967,0.129510406892354,1.03866048523133,-6.63389135475908,0.483051719706967,0.129510406892354,1.03866048523133,-6.63389135475908,0.483051719706967,0.129510406892354,1.03866048523133,-6.63389135475908,0.483051719706967
-6.48637439347703,0.837545894755296,-9.16147708790963e-10,1.18296556125365e-10,-1.35129656518836e-09,1.74484669264363e-10,-2.58888113111656e-09,3.34286402825756e-10,NA,0.491531104629939,NA,0.000215051132664106,NA,1.30446909928804
-6.5953991159213,0.503177293638723,0.158543756860667,1.23684470543028,-6.5953991159213,0.503177293638723,0.158543756860667,1.23684470543028,-6.5953991159213,0.503177293638723,0.158543756860667,1.23684470543028,-6.5953991159213,0.503177293638723
-6.58153256011328,0.473471187025892,0.177660654421395,1.34927285065431,-6.58153256011328,0.473471187025892,0.177660654421395,1.34927285065431,-6.58153256011328,0.473471187025892,0.177660654421395,1.34927285065431,-6.58153256011328,0.473471187025892
-6.7323296034923,0.820242017069921,-5.35156267006368e-09,6.52014505750296e-10,NA,0.711071600004232,-6.7323296034923,0.820242017069921,-5.35156267006368e-09,6.52014505750296e-10,NA,0.711071600004232,-6.7323296034923,0.820242017069921
-6.62711574554615,0.889868288112374,-6.18008466164492e-09,8.29842358184779e-10,NA,0.678008391471547,-6.62711574554615,0.889868288112374,-6.18008466164492e-09,8.29842358184779e-10,NA,0.678008391471547,-6.62711574554615,0.889868288112374
-6.61941737621556,0.823112394419016,-6.25653313185613e-09,7.77988405056315e-10,NA,0.553704398982349,-6.61941737621556,0.823112394419016,-6.25653313185613e-09,7.77988405056315e-10,NA,0.553704398982349,-6.61941737621556,0.823112394419016
3.5038468207906,25.6502757464204,0,0,-6.58376781805817,0.867376828769176,0.00778560165387035,0.378235689568885,2.2711419006512e-27,0.000312533628520744,6.41313393818965e-07,0.814272194673693,3.5038468207906,25.6502757464204
-6.74960723336832,0.883083156349541,-1.06311255622261e-10,1.39092062581502e-11,-1.98918630159443e-09,2.60254686983095e-10,-4.20282800461907e-09,5.49875939678979e-10,NA,0.523756657808141,NA,0.000164497535364012,NA,0.730495602399027
-6.74716085539649,0.69507608313573,-5.2522972098179e-09,5.41078870106531e-10,NA,0.558481728211312,-6.74716085539649,0.69507608313573,-5.2522972098179e-09,5.41078870106531e-10,NA,0.558481728211312,-6.74716085539649,0.69507608313573
-6.66522525947694,0.980919935635308,-7.0469945261335e-10,1.03710484610684e-10,-7.07972056777339e-10,1.04192113143993e-10,-3.33755986163147e-09,4.91188050995812e-10,NA,0.271451898939078,NA,0.990107672780082,NA,1.21345544419271
-6.51308144182928,0.840160449547157,-9.23510272181429e-10,1.19128988692555e-10,-7.60218649668835e-10,9.80650477296214e-11,-3.48202466441695e-09,4.49166716786699e-10,NA,0.259736889709305,NA,0.872822833509183,NA,0.818402320354633
